team,elo
Argentina,2205.5
Spain,2190.9
France,2145.4
England,2120.4
Colombia,2082.3
Brazil,2072.9
Portugal,2026.0
Germany,2016.1
Morocco,2011.5
Netherlands,2009.1
Mexico,2003.6
Japan,1995.3
Norway,1992.9
Ecuador,1981.8
Uruguay,1955.6
Switzerland,1951.0
Belgium,1944.7
Croatia,1939.3
USA,1920.6
Austria,1920.3
Australia,1913.5
Paraguay,1901.6
Senegal,1893.2
Iran,1889.3
Canada,1889.0
South Korea,1888.5
Turkiye,1881.4
Algeria,1869.4
Ivory Coast,1861.4
Scotland,1843.5
Egypt,1822.7
Sweden,1821.3
Panama,1807.6
Uzbekistan,1806.1
DR Congo,1783.8
Czechia,1768.3
New Zealand,1745.5
Jordan,1744.3
Iraq,1716.0
Saudi Arabia,1712.9
Tunisia,1687.3
Cabo Verde,1681.8
Haiti,1678.5
Ghana,1673.0
South Africa,1666.2
Bosnia and Herzegovina,1654.7
Curacao,1595.2
Qatar,1578.6
