team,elo,fuente
Argentina,1889.06,worldfootballrankings
France,1887.11,worldfootballrankings
Spain,1856.03,worldfootballrankings
England,1847.68,worldfootballrankings
Brazil,1772.01,worldfootballrankings
Morocco,1769.98,worldfootballrankings
Netherlands,1764.40,worldfootballrankings
Portugal,1755.09,worldfootballrankings
Germany,1743.54,worldfootballrankings
Belgium,1733.93,worldfootballrankings
Mexico,1721.78,worldfootballrankings
Colombia,1712.60,worldfootballrankings
USA,1709.59,worldfootballrankings
Croatia,1695.21,worldfootballrankings
Senegal,1667.66,worldfootballrankings
Japan,1665.94,worldfootballrankings
Uruguay,1661.95,worldfootballrankings
Switzerland,1654.94,worldfootballrankings
Austria,1612.86,worldfootballrankings
Iran,1605.12,worldfootballrankings
South Korea,1591.75,worldfootballrankings
Australia,1584.55,worldfootballrankings
Norway,1577.18,worldfootballrankings
Canada,1572.13,worldfootballrankings
Ecuador,1570.76,worldfootballrankings
Egypt,1570.67,worldfootballrankings
Ivory Coast,1568.62,worldfootballrankings
Algeria,1559.24,worldfootballrankings
Turkiye,1550.13,worldfootballrankings
Sweden,1517.99,worldfootballrankings
Paraguay,1517.39,worldfootballrankings
Panama,1505.33,worldfootballrankings
Scotland,1504.41,worldfootballrankings
DR Congo,1487.18,worldfootballrankings
Czechia,1481.49,worldfootballrankings
South Africa,1451.24,worldfootballrankings
Bosnia and Herzegovina,1408.93,worldfootballrankings
Ghana,1398.57,worldfootballrankings
Tunisia,1426.58,worldfootballrankings
Uzbekistan,1432.84,worldfootballrankings
Saudi Arabia,1425.52,worldfootballrankings
Qatar,1411.06,worldfootballrankings
Iraq,1404.17,worldfootballrankings
Cabo Verde,1402.97,worldfootballrankings
Jordan,1355.89,worldfootballrankings
New Zealand,1269.80,worldfootballrankings
Curacao,1285.64,worldfootballrankings
Haiti,1264.58,worldfootballrankings
