date,group,home,away
2026-06-24,A,Czechia,Mexico
2026-06-24,A,South Africa,South Korea
2026-06-24,B,Switzerland,Canada
2026-06-24,B,Bosnia and Herzegovina,Qatar
2026-06-24,C,Scotland,Brazil
2026-06-24,C,Morocco,Haiti
2026-06-25,D,Turkiye,USA
2026-06-25,D,Paraguay,Australia
2026-06-25,E,Ecuador,Germany
2026-06-25,E,Curacao,Ivory Coast
2026-06-25,F,Japan,Sweden
2026-06-25,F,Tunisia,Netherlands
2026-06-26,G,Egypt,Iran
2026-06-26,G,New Zealand,Belgium
2026-06-26,H,Cabo Verde,Saudi Arabia
2026-06-26,H,Uruguay,Spain
2026-06-26,I,Norway,France
2026-06-26,I,Senegal,Iraq
2026-06-27,J,Algeria,Austria
2026-06-27,J,Jordan,Argentina
2026-06-27,K,Colombia,Portugal
2026-06-27,K,DR Congo,Uzbekistan
2026-06-27,L,Panama,England
2026-06-27,L,Croatia,Ghana
