group,team,played,pts,gf,ga
A,Mexico,2,6,3,0
A,South Korea,2,3,2,2
A,Czechia,2,1,2,3
A,South Africa,2,1,1,3
B,Canada,2,4,7,1
B,Switzerland,2,4,5,2
B,Bosnia and Herzegovina,2,1,2,5
B,Qatar,2,1,1,7
C,Brazil,2,4,4,1
C,Morocco,2,4,2,1
C,Scotland,2,3,1,1
C,Haiti,2,0,0,4
D,USA,2,6,6,1
D,Australia,2,3,2,2
D,Paraguay,2,3,1,2
D,Turkiye,2,0,1,5
E,Germany,1,3,7,1
E,Ivory Coast,1,3,1,0
E,Ecuador,1,0,0,1
E,Curacao,1,0,1,7
F,Sweden,1,3,5,1
F,Japan,1,1,2,2
F,Netherlands,1,1,2,2
F,Tunisia,1,0,1,5
G,New Zealand,1,1,2,2
G,Iran,1,1,2,2
G,Egypt,1,1,1,1
G,Belgium,1,1,1,1
H,Saudi Arabia,1,1,1,1
H,Uruguay,1,1,1,1
H,Spain,1,1,0,0
H,Cabo Verde,1,1,0,0
I,Norway,1,3,4,1
I,France,1,3,3,1
I,Senegal,1,0,1,3
I,Iraq,1,0,1,4
J,Argentina,1,3,3,0
J,Austria,1,3,3,1
J,Jordan,1,0,1,3
J,Algeria,1,0,0,3
K,Colombia,1,3,3,1
K,DR Congo,1,1,1,1
K,Portugal,1,1,1,1
K,Uzbekistan,1,0,1,3
L,England,1,3,4,2
L,Ghana,1,3,1,0
L,Panama,1,0,0,1
L,Croatia,1,0,2,4
