match,stage,date,venue,home,away,gh,ga,pen_h,pen_a,winner
73,R32,2026-06-28,USA,South Africa,Canada,0,1,,,Canada
74,R32,2026-06-29,USA,Germany,Paraguay,1,1,3,4,Paraguay
75,R32,2026-06-29,MEX,Netherlands,Morocco,1,1,2,3,Morocco
76,R32,2026-06-29,USA,Brazil,Japan,2,1,,,Brazil
77,R32,2026-06-30,USA,France,Sweden,3,0,,,France
78,R32,2026-06-30,USA,Ivory Coast,Norway,1,2,,,Norway
79,R32,2026-06-30,MEX,Mexico,Ecuador,2,0,,,Mexico
80,R32,2026-07-01,USA,England,DR Congo,2,1,,,England
81,R32,2026-07-01,USA,USA,Bosnia and Herzegovina,2,0,,,USA
82,R32,2026-07-01,USA,Belgium,Senegal,3,2,,,Belgium
83,R32,2026-07-02,CAN,Portugal,Croatia,2,1,,,Portugal
84,R32,2026-07-02,USA,Spain,Austria,3,0,,,Spain
85,R32,2026-07-02,CAN,Switzerland,Algeria,2,0,,,Switzerland
86,R32,2026-07-03,USA,Argentina,Cabo Verde,3,2,,,Argentina
87,R32,2026-07-03,USA,Colombia,Ghana,1,0,,,Colombia
88,R32,2026-07-03,USA,Australia,Egypt,1,1,2,4,Egypt
89,R16,2026-07-04,USA,Paraguay,France,0,1,,,France
90,R16,2026-07-04,USA,Canada,Morocco,0,3,,,Morocco
91,R16,2026-07-05,USA,Brazil,Norway,1,2,,,Norway
92,R16,2026-07-05,MEX,Mexico,England,2,3,,,England
93,R16,2026-07-06,USA,Portugal,Spain,0,1,,,Spain
94,R16,2026-07-06,USA,USA,Belgium,1,4,,,Belgium
95,R16,2026-07-07,USA,Argentina,Egypt,3,2,,,Argentina
96,R16,2026-07-07,CAN,Switzerland,Colombia,0,0,4,3,Switzerland
97,QF,2026-07-09,USA,France,Morocco,2,0,,,France
98,QF,2026-07-10,USA,Spain,Belgium,2,1,,,Spain
99,QF,2026-07-11,USA,Norway,England,1,2,,,England
100,QF,2026-07-11,USA,Argentina,Switzerland,3,1,,,Argentina
101,SF,2026-07-14,USA,France,Spain,0,2,,,Spain
102,SF,2026-07-15,USA,England,Argentina,1,2,,,Argentina
