team,elo,titles,p_champion,finals,p_final
Argentina,1889.06,28537,0.28537,46454,0.46454
France,1887.11,25070,0.2507,42154,0.42154
Spain,1856.03,14005,0.14005,25998,0.25998
England,1847.68,12032,0.12032,23618,0.23618
USA,1709.59,3782,0.03782,10286,0.10286
Mexico,1721.78,2993,0.02993,7987,0.07987
Brazil,1772.01,2671,0.02671,7399,0.07399
Morocco,1769.98,2659,0.02659,7396,0.07396
Portugal,1755.09,1948,0.01948,5946,0.05946
Netherlands,1764.4,1853,0.01853,5200,0.052
Belgium,1733.93,1285,0.01285,4237,0.04237
Germany,1743.54,1259,0.01259,4244,0.04244
Colombia,1712.6,864,0.00864,3336,0.03336
Croatia,1695.21,312,0.00312,1345,0.01345
Senegal,1667.66,162,0.00162,768,0.00768
Switzerland,1654.94,146,0.00146,905,0.00905
Uruguay,1661.95,141,0.00141,719,0.00719
Japan,1665.94,112,0.00112,626,0.00626
Canada,1572.13,83,0.00083,492,0.00492
Austria,1612.86,27,0.00027,195,0.00195
Iran,1605.12,15,0.00015,160,0.0016
Australia,1584.55,9,9e-05,114,0.00114
Ivory Coast,1568.62,9,9e-05,64,0.00064
Norway,1577.18,7,7e-05,81,0.00081
Egypt,1570.67,6,6e-05,101,0.00101
South Korea,1591.75,4,4e-05,84,0.00084
Ecuador,1570.76,4,4e-05,32,0.00032
Algeria,1559.24,4,4e-05,37,0.00037
Ghana,1490.0,1,1e-05,2,2e-05
Turkiye,1550.13,0,0.0,1,1e-05
Sweden,1517.99,0,0.0,9,9e-05
Paraguay,1517.39,0,0.0,3,3e-05
Panama,1505.33,0,0.0,1,1e-05
Scotland,1504.41,0,0.0,1,1e-05
DR Congo,1487.18,0,0.0,1,1e-05
Czechia,1481.49,0,0.0,0,0.0
South Africa,1480.0,0,0.0,1,1e-05
Bosnia and Herzegovina,1500.0,0,0.0,2,2e-05
Tunisia,1490.0,0,0.0,0,0.0
Uzbekistan,1470.0,0,0.0,0,0.0
Saudi Arabia,1460.0,0,0.0,1,1e-05
Qatar,1450.0,0,0.0,0,0.0
Iraq,1450.0,0,0.0,0,0.0
Cabo Verde,1430.0,0,0.0,0,0.0
Jordan,1410.0,0,0.0,0,0.0
New Zealand,1400.0,0,0.0,0,0.0
Curacao,1330.0,0,0.0,0,0.0
Haiti,1300.0,0,0.0,0,0.0
